,Product,Unit Price,Category
142,"PANASONIC CELLULARE FACILITATO CON CONNESSIONE 4G,USB C,AMPLIO DISPLAY,RESISTENTE AGLI URTI,TASTO D’EMERGENZA SOS","99,90€",Smartphone & Cellulari
143,SAMSUNG GALAXY Z FOLD5 12+1TB PHANTOM BLACK,"2.276,90€",Smartphone & Cellulari
144,"MOTOROLA MOTO G14, DISPLAY DA 6,5'' FHD+, FOTOCAMERA DA 50MP, 4/128GB, BATTERIA 5000MAH, STEEL GREY, CARICATORE E COVER INCLUSI","149,90€",Smartphone & Cellulari
145,"TCL CELL. 2.8"" DUALSIM 4MB 16MB 2G DARK NIGHT GREY","39,90€",Smartphone & Cellulari
146,"MOTOROLA NUOVO EDGE 40 NEO 50+13MP, DISPLAY 6.5"" POLED FHD+ 144HZ, PROCESSORE MEDIATEK DIMENSITY 7030, 12/256GB, 5000MAH","457,90€",Smartphone & Cellulari
147,APPLE IPHONE 15 128GB NERO,"851,90€",Smartphone & Cellulari
148,APPLE IPHONE 15 128GB BLU,"851,90€",Smartphone & Cellulari
149,APPLE IPHONE 15 128GB VERDE,"739,99€",Smartphone & Cellulari
150,APPLE IPHONE 15 PRO MAX 256GB TITANIO BLU,"1.299,00€",Smartphone & Cellulari
151,BRONDI INTREPID 4G È UN TELEFONO DUAL SIM CON APERTURA A FLIP,"89,90€",Smartphone & Cellulari
152,"MOTOROLA MOTO G84 5G MEMORIA DA 12/256GB, COMPARTO FOTOGRAFICO 50+8MP, DISPLAY 6,55"" POLED FHD+ CON REFRESH RATE DA 120HZ","229,90€",Smartphone & Cellulari
153,BEGHELLI CELLULARE CON TASTO SALVALAVITA CON SPECIALI AURICOLARI CHE PERMETTONO AGLI ANZIANI DI SENTIRE MEGLIO,"83,90€",Smartphone & Cellulari
154,SAMSUNG GALAXY A25 5G 8+256GB BLUE BLACK,"260,90€",Smartphone & Cellulari
155,SAMSUNG GALAXY A25 5G 8+256GB BLUE,"260,90€",Smartphone & Cellulari
156,SAMSUNG GALAXY A25 5G 8+256GB YELLOW,"269,90€",Smartphone & Cellulari
157,SAMSUNG GALAXY A25 5G 6+128GB  BLUE BLACK,"324,90€",Smartphone & Cellulari
158,SAMSUNG GALAXY A25 5G 6+128GB BLUE,"324,90€",Smartphone & Cellulari
159,SAMSUNG GALAXY A25 5G 6+128GB YELLOW,"360,90€",Smartphone & Cellulari
160,XIAOMI REDMI NOTE 13 PRO+ 5G MIDNIGHT BLACK 12GB RAM 512GB ROM,"499,90€",Smartphone & Cellulari
161,XIAOMI REDMI NOTE 13 5G GRAPHITE BLACK 8GB RAM 256GB ROM,"299,90€",Smartphone & Cellulari
162,XIAOMI REDMI NOTE 13 MINT GREEN 8GB RAM 256GB ROM,"249,00€",Smartphone & Cellulari
163,XIAOMI REDMI NOTE 13 MIDNIGHT BLACK 8GB RAM 256GB ROM,"249,00€",Smartphone & Cellulari
164,"HONOR MAGIC6 LITE SMARTP.6.78""OLED 8GB 256GB 108+5+2MP 5G E.GREEN","269,00€",Smartphone & Cellulari
165,SAMSUNG GALAXY S24 ONYX BLACK 8+128GB,"1.092,90€",Smartphone & Cellulari
166,SAMSUNG GALAXY S24 8+128GB MARBLE GRAY,"879,00€",Smartphone & Cellulari
167,SAMSUNG GALAXY S24 ULTRA 12+512GB TITANIUM GRAY,"1.459,90€",Smartphone & Cellulari
168,"MOTOROLA MOTO G54 5G 50+2MP, DISPLAY 6.5"" FHD+ 120HZ, PROCESSORE MEDIATEK DIMENSITY 7020, 12/256GB, 5000MAH, MIDNIGHT BLUE","245,90€",Smartphone & Cellulari
169,"OPPO A18 4+128 GLOWING BLACK, AI DOPPIA FOTOCAMERA 8+2MP, SELFIE 5MP, DISPLAY 6.56” 90HZ LCD HD+, 5000MAH, IP54","126,90€",Smartphone & Cellulari
170,"OPPO A18 4+128 GLOWING BLUE, AI DOPPIA FOTOCAMERA 8+2MP, SELFIE 5MP, DISPLAY 6.56” 90HZ LCD HD+, 5000MAH, IP54","126,90€",Smartphone & Cellulari
171,BRONDI SMARTPHONE AMICO SMARTPHONE S+B,"112,90€",Smartphone & Cellulari
172,REALME NOTE 50 MIDNIGHT BLACK (128GB 4GB),"119,99€",Smartphone & Cellulari
